variant,k,acc,r1,r2,r3,r4,r5,r5loss,var
base,0,0.9003,0.983,0.940,0.859,0.756,0.617,1.524,0.0
shared,1,0.8967,0.991,0.945,0.840,0.728,0.586,1.659,9.7
shared,2,0.8905,0.987,0.961,0.872,0.691,0.483,2.028,14.1
shared,4,0.8852,0.987,0.958,0.857,0.681,0.466,2.052,19.6
shared,8,0.8708,0.987,0.954,0.826,0.631,0.423,2.179,27.7
shared,16,0.8502,0.990,0.939,0.787,0.563,0.353,2.423,40.5
shared,32,0.7903,0.985,0.890,0.663,0.404,0.215,2.902,58.8
generic,1,0.8891,0.982,0.953,0.860,0.706,0.514,1.882,4.0
generic,2,0.8903,0.984,0.953,0.854,0.707,0.531,1.814,7.4
generic,4,0.8872,0.980,0.955,0.852,0.701,0.515,1.805,12.3
generic,8,0.8765,0.983,0.953,0.834,0.658,0.464,2.002,20.2
generic,16,0.8541,0.981,0.945,0.794,0.596,0.380,2.301,34.1
generic,32,0.7980,0.968,0.888,0.704,0.451,0.269,2.673,52.9
random,1,0.9004,0.983,0.940,0.859,0.755,0.618,1.524,0.0
random,2,0.9002,0.983,0.940,0.858,0.756,0.617,1.524,0.0
random,4,0.8999,0.984,0.939,0.858,0.754,0.617,1.525,0.1
random,8,0.9001,0.983,0.939,0.858,0.755,0.618,1.525,0.2
random,16,0.9004,0.984,0.939,0.857,0.757,0.617,1.525,0.4
random,32,0.9005,0.984,0.941,0.857,0.757,0.615,1.526,0.7
rank,1,0.8976,0.991,0.945,0.844,0.730,0.588,1.642,9.8
rank,2,0.8911,0.986,0.963,0.877,0.686,0.485,2.037,14.0
rank,4,0.8831,0.989,0.959,0.857,0.665,0.452,2.133,17.3
cue,1,0.8834,0.982,0.953,0.862,0.689,0.463,2.103,3.8
cue,2,0.8811,0.984,0.953,0.849,0.679,0.467,2.089,6.9
cue,4,0.8743,0.982,0.953,0.838,0.660,0.434,2.211,11.5
cue,8,0.8622,0.982,0.947,0.817,0.617,0.397,2.278,19.5
cue,16,0.8394,0.980,0.931,0.781,0.543,0.333,2.550,32.9
cue,32,0.7809,0.970,0.874,0.662,0.405,0.225,2.947,51.6
rare,1,0.8986,0.983,0.942,0.855,0.754,0.600,1.533,3.1
rare,2,0.8973,0.983,0.942,0.856,0.752,0.588,1.551,5.4
rare,4,0.8907,0.984,0.941,0.842,0.726,0.563,1.594,9.6
rare,8,0.8876,0.983,0.942,0.839,0.704,0.560,1.691,17.7
rare,16,0.8634,0.983,0.940,0.814,0.610,0.440,2.074,30.7
rare,32,0.8189,0.978,0.916,0.741,0.467,0.306,2.530,49.2
randvar,395,0.8975,0.981,0.942,0.854,0.745,0.609,1.567,9.6
randvar,571,0.8977,0.982,0.942,0.851,0.748,0.613,1.591,13.8
randvar,797,0.8946,0.981,0.942,0.843,0.738,0.607,1.647,19.3
randvar,1125,0.8919,0.979,0.941,0.835,0.731,0.606,1.816,27.4
randvar,1656,0.8831,0.974,0.934,0.824,0.719,0.582,2.323,40.4
randvar,2404,0.8599,0.963,0.912,0.789,0.665,0.549,3.868,58.5
