basis,b,k,ki,cos
rank,0,1,0,0.999
rank,0,2,1,0.962
rank,0,4,2,0.515
cue,1,1,0,0.151
cue,1,2,1,0.072
cue,1,4,2,0.976
cue,1,8,3,0.984
cue,1,16,4,0.989
cue,1,32,5,0.993
generic,2,1,0,0.149
generic,2,2,1,0.069
generic,2,4,2,0.859
generic,2,8,3,0.953
generic,2,16,4,0.973
generic,2,32,5,0.988
rare,3,1,0,0.065
rare,3,2,1,0.043
rare,3,4,2,0.292
rare,3,8,3,0.892
rare,3,16,4,0.944
rare,3,32,5,0.973
randvar,4,1,0,0.268
randvar,4,2,1,0.313
randvar,4,4,2,0.378
randvar,4,8,3,0.463
randvar,4,16,4,0.577
randvar,4,32,5,0.718
random,5,1,0,0.006
random,5,2,1,0.012
random,5,4,2,0.018
random,5,8,3,0.030
random,5,16,4,0.049
random,5,32,5,0.066
