arm,pair,mean,min,max
toy,r1-r2,-0.289,-0.388,-0.256
toy,r1-r3,-0.360,-0.455,-0.283
toy,r1-r4,-0.422,-0.544,-0.301
toy,r2-r3,-0.424,-0.563,-0.280
toy,r2-r4,-0.376,-0.563,-0.229
toy,r3-r4,-0.081,-0.348,0.094
capacity,r1-r2,-0.292,-0.297,-0.287
capacity,r1-r3,-0.256,-0.263,-0.244
capacity,r1-r4,-0.249,-0.256,-0.245
capacity,r1-r5,-0.243,-0.256,-0.236
capacity,r2-r3,-0.243,-0.251,-0.234
capacity,r2-r4,-0.242,-0.245,-0.236
capacity,r2-r5,-0.238,-0.246,-0.231
capacity,r3-r4,-0.239,-0.252,-0.233
capacity,r3-r5,-0.237,-0.244,-0.225
capacity,r4-r5,-0.234,-0.245,-0.226
