arm,i,j,cos
toy,1,1,nan
toy,1,2,-0.289
toy,1,3,-0.360
toy,1,4,-0.422
toy,2,1,-0.289
toy,2,2,nan
toy,2,3,-0.424
toy,2,4,-0.376
toy,3,1,-0.360
toy,3,2,-0.424
toy,3,3,nan
toy,3,4,-0.081
toy,4,1,-0.422
toy,4,2,-0.376
toy,4,3,-0.081
toy,4,4,nan
capacity,1,1,nan
capacity,1,2,-0.292
capacity,1,3,-0.256
capacity,1,4,-0.249
capacity,1,5,-0.243
capacity,2,1,-0.292
capacity,2,2,nan
capacity,2,3,-0.243
capacity,2,4,-0.242
capacity,2,5,-0.238
capacity,3,1,-0.256
capacity,3,2,-0.243
capacity,3,3,nan
capacity,3,4,-0.239
capacity,3,5,-0.237
capacity,4,1,-0.249
capacity,4,2,-0.242
capacity,4,3,-0.239
capacity,4,4,nan
capacity,4,5,-0.234
capacity,5,1,-0.243
capacity,5,2,-0.238
capacity,5,3,-0.237
capacity,5,4,-0.234
capacity,5,5,nan
