i,gamma0,coact,uniform,gaussian
1,0.0771649,0.0455362,0.035776,0.000653985
2,0.0463555,0.0262882,0.0255598,0.000652483
3,0.0349278,0.0254907,0.0241882,0.000650371
4,0.0325624,0.0242083,0.0222581,0.000650366
5,0.0288088,0.0223579,0.0218345,0.000649058
6,0.02762,0.0216571,0.0210213,0.000646056
7,0.0263706,0.021154,0.0204509,0.00064517
8,0.0253033,0.0201397,0.0201773,0.000644838
9,0.0249467,0.0196798,0.0191858,0.00064328
10,0.0231455,0.0192417,0.0189606,0.000642018
11,0.0216237,0.0190534,0.0185408,0.000641316
12,0.0207066,0.0184757,0.0176744,0.000639911
13,0.0205004,0.0180175,0.0175438,0.000639301
14,0.0191447,0.0177338,0.0167007,0.000638005
15,0.0181661,0.017454,0.0164774,0.00063715
16,0.0177652,0.0165507,0.0162861,0.0006354
17,0.0171016,0.0164253,0.0157685,0.000634233
18,0.0163861,0.015975,0.0154723,0.000633272
19,0.015709,0.0149719,0.0149703,0.000632207
20,0.0152239,0.0143003,0.0146632,0.000631495
21,0.0145419,0.0142616,0.014393,0.000631117
22,0.0142844,0.0139937,0.0142226,0.000630397
23,0.0135808,0.0135385,0.0139144,0.000629294
24,0.0134892,0.0134521,0.0134111,0.000628592
25,0.0127425,0.0130597,0.0133789,0.000627955
26,0.0120812,0.0126709,0.0131647,0.000627456
27,0.011937,0.0125202,0.0127654,0.0006269
28,0.0115594,0.0122347,0.0125568,0.000626429
29,0.0111048,0.0121908,0.0123328,0.000626157
30,0.0109703,0.0116709,0.0122306,0.000624874
31,0.0108094,0.0114971,0.0117181,0.000624411
32,0.0102414,0.0111783,0.0116035,0.000623793
33,0.00994423,0.0111289,0.0113962,0.000623554
34,0.00929242,0.0107461,0.0113164,0.000622262
35,0.00907069,0.0104732,0.010913,0.000621788
36,0.00897023,0.0102471,0.0107213,0.00062141
37,0.00856423,0.00963757,0.0104759,0.000620847
38,0.00845456,0.00943445,0.0100396,0.000620052
39,0.00822724,0.00919695,0.00993554,0.000619233
40,0.00795241,0.00916185,0.00981705,0.00061853
41,0.00753031,0.00900885,0.00971278,0.000618414
42,0.00726537,0.00888067,0.00953489,0.000617012
43,0.00700451,0.00858632,0.00909949,0.000616683
44,0.0067761,0.00838813,0.00894668,0.000615978
45,0.00652665,0.00827854,0.00871344,0.000615159
46,0.00636249,0.00799017,0.0086394,0.00061452
47,0.00617479,0.00785999,0.00831535,0.000614442
48,0.005978,0.00756324,0.00803671,0.000613416
49,0.00576169,0.00744413,0.00797071,0.000613037
50,0.00571603,0.00733324,0.00764925,0.000612515
51,0.00549542,0.00728785,0.00761631,0.000611441
52,0.00528697,0.00715247,0.00730649,0.000610973
53,0.00502191,0.00686195,0.00724985,0.000610448
54,0.00498061,0.00662396,0.00699032,0.000610321
55,0.004647,0.00647611,0.00684478,0.000609534
56,0.00461148,0.00643363,0.00668992,0.000609219
57,0.00440196,0.00636703,0.00660945,0.000609147
58,0.00428944,0.00625397,0.00642493,0.000607985
59,0.00402024,0.00606854,0.00629778,0.000607028
60,0.00388395,0.00597264,0.00612107,0.000606289
61,0.00374841,0.00584593,0.00594264,0.000606003
62,0.00366334,0.00573547,0.0058295,0.000605903
63,0.00358079,0.00552668,0.0056876,0.000604809
64,0.00341591,0.00543706,0.00563384,0.000604567
65,0.00336435,0.00540237,0.00548051,0.000603794
66,0.00325412,0.0052621,0.00534572,0.00060358
67,0.00312274,0.00518969,0.0052671,0.000603
68,0.00300182,0.00503351,0.00506121,0.000602465
69,0.00284384,0.00480746,0.00496397,0.000601873
70,0.00279196,0.0045679,0.00472785,0.000601015
71,0.0026983,0.00438815,0.00458311,0.000600642
72,0.00254538,0.00432222,0.00444839,0.000600121
73,0.00241884,0.00423914,0.00429227,0.000599501
74,0.00236241,0.00414197,0.00428402,0.00059904
75,0.0023068,0.00385585,0.00412894,0.000598377
76,0.00220122,0.00380865,0.00390014,0.00059775
77,0.0021231,0.00374375,0.00387195,0.000597121
78,0.00203768,0.0035467,0.00379571,0.000596908
79,0.00201262,0.00347425,0.00360228,0.000596499
80,0.00193452,0.0034364,0.00341122,0.000596447
81,0.00184397,0.00336187,0.00335651,0.000595433
82,0.00179815,0.00321781,0.00334506,0.000595314
83,0.00170379,0.00313987,0.0032249,0.000594758
84,0.00166821,0.00304567,0.00301597,0.000593592
85,0.00161484,0.00276428,0.00296165,0.000593481
86,0.0015871,0.00271741,0.00281849,0.00059317
87,0.00152638,0.00268474,0.00266379,0.000592588
88,0.00144459,0.00253447,0.00257617,0.000591889
89,0.00140681,0.0024326,0.00242283,0.000591667
90,0.00135527,0.00234576,0.00232435,0.0005913
91,0.00132149,0.00228945,0.00222615,0.000590848
92,0.00123979,0.00220495,0.00213492,0.000590704
93,0.0012248,0.00218495,0.00209423,0.000590441
94,0.00118917,0.00192626,0.00208185,0.000589898
95,0.00118419,0.00190731,0.00197269,0.000589126
96,0.001149,0.00183339,0.00181403,0.000588753
97,0.00112685,0.00180802,0.00179628,0.000588473
98,0.00107233,0.00169931,0.00172132,0.000587909
99,0.0010379,0.00162823,0.00160606,0.000587334
