== ablate g=0.0 l=1.0 s=0_bf16: train=86400 test=9600
shared directions: 4999 pair means; top-8 var share [0.096, 0.023, 0.018, 0.017, 0.017, 0.016, 0.015, 0.015]
cue means: 2000 cue tokens; rank basis dims 5
 variant    k    acc r1 r2 r3 r4 r5   r5loss  medcos  var%  cos·sh
    base    0 0.9150 0.988 0.957 0.879 0.777 0.658  1.236  -0.249   0.0  nan
  shared    1 0.8981 0.992 0.953 0.862 0.712 0.559  1.637  +nan   4.0  nan
  shared    2 0.8923 0.990 0.958 0.872 0.688 0.498  1.910  +nan   6.2  nan
  shared    4 0.8853 0.991 0.959 0.857 0.660 0.469  2.007  +nan   9.4  nan
  shared    8 0.8747 0.991 0.951 0.842 0.629 0.429  2.173  +nan  15.4  nan
  shared   16 0.8503 0.993 0.938 0.782 0.550 0.367  2.433  -0.249  25.8  nan
  shared   32 0.7941 0.986 0.890 0.669 0.415 0.232  2.989  +nan  43.2  nan
 generic    1 0.8966 0.990 0.959 0.867 0.692 0.553  1.682  +nan   2.3  0.441
 generic    2 0.8943 0.990 0.955 0.862 0.689 0.547  1.691  +nan   4.1  0.090
 generic    4 0.8917 0.989 0.953 0.869 0.678 0.528  1.743  +nan   7.3  0.713
 generic    8 0.8817 0.989 0.951 0.843 0.652 0.494  1.882  +nan  13.4  0.925
 generic   16 0.8589 0.989 0.940 0.796 0.589 0.414  2.157  +nan  23.9  0.959
 generic   32 0.8129 0.989 0.894 0.703 0.470 0.301  2.650  +nan  41.5  0.982
  random    1 0.9147 0.988 0.957 0.878 0.776 0.658  1.236  +nan   0.0  0.002
  random    2 0.9149 0.988 0.957 0.879 0.776 0.661  1.235  +nan   0.0  0.012
  random    4 0.9148 0.988 0.957 0.879 0.776 0.660  1.236  +nan   0.1  0.018
  random    8 0.9145 0.988 0.955 0.878 0.775 0.663  1.236  +nan   0.2  0.030
  random   16 0.9151 0.988 0.956 0.879 0.779 0.661  1.238  +nan   0.4  0.045
  random   32 0.9137 0.987 0.954 0.879 0.772 0.661  1.237  +nan   0.8  0.067
    rank    1 0.8978 0.992 0.953 0.861 0.710 0.559  1.645  +nan   4.0  0.999
    rank    2 0.8911 0.990 0.959 0.874 0.682 0.486  1.976  +nan   6.1  0.958
    rank    4 0.8889 0.991 0.958 0.872 0.676 0.469  2.030  +nan   8.2  0.440
     cue    1 0.8882 0.990 0.958 0.863 0.672 0.489  1.994  +nan   2.2  0.464
     cue    2 0.8851 0.990 0.958 0.857 0.664 0.468  2.004  +nan   3.8  0.045
     cue    4 0.8820 0.990 0.956 0.862 0.639 0.458  2.120  +nan   6.9  0.969
     cue    8 0.8695 0.989 0.951 0.839 0.607 0.409  2.285  +nan  12.7  0.974
     cue   16 0.8403 0.991 0.929 0.757 0.535 0.345  2.521  +nan  22.9  0.982
     cue   32 0.7828 0.984 0.870 0.645 0.401 0.221  3.056  +nan  40.2  0.991
    rare    1 0.9137 0.989 0.955 0.882 0.772 0.646  1.267  +nan   1.5  0.010
    rare    2 0.9118 0.989 0.955 0.877 0.759 0.646  1.287  +nan   2.9  0.004
    rare    4 0.9073 0.989 0.951 0.872 0.741 0.634  1.354  +nan   5.8  0.172
    rare    8 0.8989 0.990 0.948 0.862 0.706 0.601  1.473  +nan  11.3  0.849
    rare   16 0.8816 0.989 0.936 0.844 0.660 0.517  1.760  +nan  21.1  0.907
    rare   32 0.8439 0.990 0.911 0.778 0.543 0.393  2.370  +nan  38.1  0.961
 randvar  162 0.9132 0.988 0.951 0.877 0.772 0.665  1.240  +nan   4.0  0.204
 randvar  247 0.9140 0.989 0.951 0.880 0.772 0.663  1.245  +nan   6.1  0.229
 randvar  381 0.9109 0.987 0.950 0.872 0.766 0.662  1.262  +nan   9.3  0.305
 randvar  625 0.9090 0.987 0.945 0.873 0.763 0.651  1.319  +nan  15.2  0.386
 randvar 1049 0.9038 0.986 0.943 0.863 0.753 0.630  1.497  +nan  25.6  0.501
 randvar 1764 0.8964 0.983 0.933 0.858 0.728 0.628  2.169  +nan  43.0  0.657
