== ablate g=0.0 l=1.0 s=0_bf16_uniform: train=86400 test=9600
shared directions: 4999 pair means; top-8 var share [0.082, 0.021, 0.017, 0.017, 0.016, 0.016, 0.015, 0.015]
cue means: 2000 cue tokens; rank basis dims 5
 variant    k    acc r1 r2 r3 r4 r5   r5loss  medcos  var%  cos·sh
    base    0 0.9083 0.986 0.958 0.872 0.759 0.625  1.496  -0.249   0.0  nan
  shared    1 0.9061 0.992 0.956 0.857 0.752 0.607  1.481  +nan   3.7  nan
  shared    2 0.8975 0.988 0.960 0.866 0.727 0.531  1.734  +nan   5.7  nan
  shared    4 0.8944 0.988 0.959 0.862 0.712 0.517  1.792  +nan   8.9  nan
  shared    8 0.8814 0.988 0.949 0.839 0.677 0.475  1.886  +nan  14.9  nan
  shared   16 0.8595 0.988 0.934 0.799 0.614 0.405  2.156  -0.250  25.2  nan
  shared   32 0.8114 0.983 0.897 0.697 0.470 0.314  2.571  +nan  42.8  nan
 generic    1 0.9049 0.983 0.959 0.874 0.745 0.611  1.545  +nan   2.0  0.046
 generic    2 0.9053 0.985 0.957 0.874 0.747 0.603  1.556  +nan   3.7  0.018
 generic    4 0.9017 0.984 0.958 0.864 0.737 0.595  1.599  +nan   6.9  0.810
 generic    8 0.8982 0.979 0.953 0.870 0.745 0.572  1.598  +nan  12.9  0.929
 generic   16 0.8772 0.971 0.946 0.836 0.683 0.517  1.776  +nan  23.6  0.950
 generic   32 0.8367 0.967 0.911 0.769 0.568 0.415  2.131  +nan  41.5  0.977
  random    1 0.9081 0.985 0.958 0.871 0.759 0.624  1.496  +nan   0.0  0.005
  random    2 0.9082 0.985 0.959 0.871 0.760 0.624  1.495  +nan   0.0  0.013
  random    4 0.9086 0.986 0.959 0.870 0.762 0.624  1.495  +nan   0.1  0.020
  random    8 0.9080 0.985 0.958 0.869 0.761 0.625  1.496  +nan   0.2  0.025
  random   16 0.9087 0.986 0.959 0.870 0.763 0.624  1.496  +nan   0.4  0.049
  random   32 0.9093 0.986 0.959 0.871 0.765 0.625  1.498  +nan   0.8  0.064
    rank    1 0.9061 0.992 0.956 0.856 0.752 0.608  1.468  +nan   3.7  0.999
    rank    2 0.8961 0.987 0.963 0.870 0.724 0.505  1.771  +nan   5.5  0.924
    rank    4 0.8944 0.987 0.962 0.863 0.729 0.493  1.882  +nan   7.6  0.423
     cue    1 0.9002 0.982 0.960 0.880 0.744 0.547  1.770  +nan   1.9  0.045
     cue    2 0.8980 0.984 0.960 0.874 0.732 0.538  1.783  +nan   3.5  0.061
     cue    4 0.8947 0.984 0.959 0.867 0.721 0.526  1.808  +nan   6.7  0.954
     cue    8 0.8817 0.980 0.949 0.852 0.687 0.484  1.914  +nan  12.3  0.973
     cue   16 0.8590 0.977 0.936 0.812 0.630 0.407  2.168  +nan  22.4  0.982
     cue   32 0.8066 0.968 0.896 0.712 0.475 0.307  2.562  +nan  39.7  0.988
    rare    1 0.9060 0.985 0.959 0.870 0.752 0.607  1.523  +nan   1.5  0.064
    rare    2 0.9050 0.984 0.958 0.869 0.750 0.606  1.550  +nan   2.9  0.077
    rare    4 0.9029 0.988 0.959 0.859 0.742 0.590  1.578  +nan   5.7  0.275
    rare    8 0.8919 0.988 0.950 0.850 0.704 0.544  1.707  +nan  11.2  0.803
    rare   16 0.8740 0.985 0.941 0.835 0.626 0.496  1.925  +nan  20.8  0.903
    rare   32 0.8483 0.984 0.929 0.797 0.518 0.426  2.289  +nan  37.8  0.954
 randvar  152 0.9078 0.985 0.958 0.869 0.764 0.620  1.483  +nan   3.7  0.200
 randvar  230 0.9062 0.984 0.957 0.867 0.760 0.617  1.491  +nan   5.7  0.222
 randvar  364 0.9056 0.985 0.953 0.864 0.762 0.617  1.514  +nan   9.0  0.279
 randvar  603 0.9046 0.984 0.952 0.864 0.767 0.607  1.558  +nan  14.8  0.383
 randvar 1018 0.9005 0.982 0.951 0.860 0.752 0.601  1.672  +nan  25.0  0.493
 randvar 1736 0.8920 0.975 0.946 0.854 0.730 0.586  2.309  +nan  42.5  0.650
