== ablate g=0.0 l=0.0 s=1: train=86400 test=9600
shared directions: 5000 pair means; top-8 var share [0.184, 0.04, 0.025, 0.024, 0.022, 0.02, 0.019, 0.018]
cue means: 2000 cue tokens; rank basis dims 5
 variant    k    acc r1 r2 r3 r4 r5   r5loss  medcos  var%  cos·sh
    base    0 0.9097 0.989 0.949 0.882 0.732 0.643  1.310  -0.249   0.0  nan
  shared    1 0.9052 0.991 0.946 0.873 0.710 0.634  1.349  +nan   9.3  nan
  shared    2 0.9028 0.989 0.960 0.888 0.690 0.571  1.503  +nan  13.4  nan
  shared    4 0.8949 0.989 0.957 0.875 0.669 0.531  1.607  +nan  18.4  nan
  shared    8 0.8847 0.991 0.952 0.861 0.638 0.476  1.803  +nan  26.4  nan
  shared   16 0.8551 0.987 0.930 0.804 0.563 0.389  2.036  -0.249  39.4  nan
  shared   32 0.7974 0.984 0.883 0.685 0.395 0.257  2.580  +nan  58.0  nan
 generic    1 0.9068 0.982 0.959 0.893 0.716 0.619  1.365  +nan   4.1  0.025
 generic    2 0.9030 0.982 0.959 0.883 0.709 0.601  1.385  +nan   6.8  0.016
 generic    4 0.8977 0.981 0.954 0.877 0.701 0.572  1.467  +nan  11.6  0.912
 generic    8 0.8923 0.981 0.946 0.876 0.687 0.547  1.478  +nan  20.2  0.972
 generic   16 0.8730 0.977 0.924 0.839 0.645 0.515  1.647  +nan  33.4  0.983
 generic   32 0.8146 0.962 0.884 0.737 0.501 0.358  2.112  +nan  52.7  0.994
  random    1 0.9100 0.989 0.949 0.883 0.731 0.645  1.311  +nan   0.0  0.005
  random    2 0.9096 0.989 0.949 0.883 0.729 0.645  1.311  +nan   0.1  0.003
  random    4 0.9097 0.989 0.949 0.883 0.730 0.643  1.311  +nan   0.1  0.008
  random    8 0.9092 0.989 0.949 0.880 0.729 0.643  1.310  +nan   0.2  0.032
  random   16 0.9091 0.989 0.950 0.881 0.730 0.638  1.308  +nan   0.4  0.056
  random   32 0.9086 0.989 0.951 0.877 0.729 0.639  1.309  +nan   0.8  0.066
    rank    1 0.9072 0.991 0.946 0.875 0.719 0.643  1.311  +nan   9.4  0.999
    rank    2 0.8995 0.987 0.960 0.889 0.681 0.548  1.557  +nan  13.2  0.967
    rank    4 0.8950 0.988 0.955 0.887 0.676 0.515  1.667  +nan  16.2  0.433
     cue    1 0.9013 0.981 0.955 0.893 0.700 0.587  1.462  +nan   4.0  0.025
     cue    2 0.8992 0.982 0.956 0.886 0.698 0.572  1.489  +nan   6.7  0.057
     cue    4 0.8932 0.982 0.955 0.870 0.684 0.546  1.591  +nan  11.5  0.979
     cue    8 0.8846 0.982 0.944 0.859 0.662 0.519  1.628  +nan  19.7  0.993
     cue   16 0.8619 0.975 0.924 0.822 0.610 0.465  1.815  +nan  32.4  0.994
     cue   32 0.7998 0.965 0.864 0.702 0.466 0.322  2.285  +nan  51.6  0.995
    rare    1 0.9056 0.988 0.950 0.875 0.718 0.629  1.342  +nan   2.6  0.117
    rare    2 0.9033 0.990 0.948 0.872 0.708 0.615  1.379  +nan   4.9  0.049
    rare    4 0.8989 0.989 0.942 0.868 0.691 0.609  1.435  +nan   9.2  0.319
    rare    8 0.8916 0.990 0.941 0.854 0.665 0.575  1.526  +nan  17.7  0.945
    rare   16 0.8742 0.987 0.930 0.845 0.600 0.509  1.690  +nan  30.3  0.976
    rare   32 0.8335 0.977 0.905 0.782 0.494 0.381  2.173  +nan  49.4  0.986
 randvar  387 0.9059 0.988 0.947 0.869 0.723 0.646  1.343  +nan   9.3  0.296
 randvar  552 0.9044 0.986 0.945 0.870 0.719 0.643  1.379  +nan  13.3  0.363
 randvar  750 0.9000 0.985 0.943 0.872 0.702 0.621  1.443  +nan  18.2  0.419
 randvar 1084 0.8970 0.984 0.938 0.864 0.699 0.622  1.574  +nan  26.3  0.502
 randvar 1623 0.8915 0.982 0.930 0.855 0.695 0.606  2.034  +nan  39.4  0.621
 randvar 2377 0.8732 0.971 0.914 0.826 0.674 0.567  3.542  +nan  58.0  0.761
