== ablate g=0.0 l=0.0 s=2: train=86400 test=9600
shared directions: 5000 pair means; top-8 var share [0.213, 0.046, 0.026, 0.021, 0.02, 0.019, 0.018, 0.018]
 variant   k    acc r1 r2 r3 r4 r5   r5loss  medcos
    base   0 0.9011 0.979 0.950 0.864 0.747 0.625  1.464  -0.250
  shared   1 0.9069 0.987 0.950 0.876 0.745 0.634  1.424  +nan
  shared   2 0.8991 0.985 0.959 0.886 0.717 0.545  1.735  +nan
  shared   4 0.8940 0.986 0.963 0.882 0.696 0.503  1.842  +nan
  shared   8 0.8809 0.985 0.958 0.850 0.655 0.471  1.964  +nan
  shared  16 0.8549 0.987 0.946 0.804 0.568 0.373  2.225  -0.247
  shared  32 0.8028 0.984 0.905 0.686 0.426 0.262  2.645  +nan
 generic   1 0.8917 0.978 0.962 0.869 0.688 0.549  1.737  +nan
 generic   2 0.8890 0.978 0.959 0.869 0.686 0.529  1.843  +nan
 generic   4 0.8824 0.978 0.955 0.851 0.681 0.499  1.927  +nan
 generic   8 0.8723 0.976 0.951 0.844 0.643 0.463  2.017  +nan
 generic  16 0.8524 0.974 0.942 0.795 0.599 0.401  2.165  +nan
 generic  32 0.7993 0.968 0.891 0.688 0.458 0.300  2.532  +nan
  random   1 0.9013 0.979 0.950 0.864 0.747 0.626  1.464  +nan
  random   2 0.9008 0.979 0.949 0.862 0.747 0.625  1.464  +nan
  random   4 0.9013 0.979 0.950 0.862 0.748 0.627  1.463  +nan
  random   8 0.9011 0.979 0.950 0.862 0.747 0.627  1.463  +nan
  random  16 0.9013 0.979 0.950 0.864 0.748 0.625  1.463  +nan
  random  32 0.9013 0.979 0.948 0.864 0.751 0.628  1.466  +nan
