== ablate g=0.0 l=1.0 s=0_bf16_uniform: train=86400 test=9600
shared directions: 4999 pair means; top-8 var share [0.082, 0.021, 0.017, 0.017, 0.016, 0.016, 0.015, 0.015]
 variant   k    acc r1 r2 r3 r4 r5   r5loss  medcos
    base   0 0.9083 0.986 0.958 0.872 0.759 0.625  1.496  -0.249
  shared   1 0.9061 0.992 0.956 0.857 0.752 0.607  1.481  +nan
  shared   2 0.8975 0.988 0.960 0.866 0.727 0.531  1.734  +nan
  shared   4 0.8944 0.988 0.959 0.862 0.712 0.517  1.792  +nan
  shared   8 0.8814 0.988 0.949 0.839 0.677 0.475  1.886  +nan
  shared  16 0.8595 0.988 0.934 0.799 0.614 0.405  2.156  -0.250
  shared  32 0.8114 0.983 0.897 0.697 0.470 0.314  2.571  +nan
 generic   1 0.9049 0.983 0.959 0.874 0.745 0.611  1.545  +nan
 generic   2 0.9053 0.985 0.957 0.874 0.747 0.603  1.556  +nan
 generic   4 0.9017 0.984 0.958 0.864 0.737 0.595  1.599  +nan
 generic   8 0.8982 0.979 0.953 0.870 0.745 0.572  1.598  +nan
 generic  16 0.8772 0.971 0.946 0.836 0.683 0.517  1.776  +nan
 generic  32 0.8367 0.967 0.911 0.769 0.568 0.415  2.131  +nan
  random   1 0.9081 0.985 0.958 0.871 0.759 0.624  1.496  +nan
  random   2 0.9082 0.985 0.959 0.871 0.760 0.624  1.495  +nan
  random   4 0.9086 0.986 0.959 0.870 0.762 0.624  1.495  +nan
  random   8 0.9080 0.985 0.958 0.869 0.761 0.625  1.496  +nan
  random  16 0.9087 0.986 0.959 0.870 0.763 0.624  1.496  +nan
  random  32 0.9093 0.986 0.959 0.871 0.765 0.625  1.498  +nan
