== ablate g=0.0 l=0.0 s=0_bf16_group499: train=86400 test=9600
shared directions: 4989 pair means; top-8 var share [0.214, 0.026, 0.022, 0.021, 0.02, 0.019, 0.017, 0.017]
cue means: 1996 cue tokens; rank basis dims 5
 variant    k    acc r1 r2 r3 r4 r5   r5loss  medcos  var%  cos·sh
    base    0 0.9086 0.986 0.953 0.884 0.748 0.633  1.325  -0.249   0.0  nan
  shared    1 0.9146 0.989 0.958 0.883 0.755 0.665  1.268  +nan  11.6  nan
  shared    2 0.9135 0.991 0.954 0.882 0.757 0.654  1.290  +nan  14.4  nan
  shared    4 0.9097 0.992 0.948 0.883 0.747 0.629  1.357  +nan  18.9  nan
  shared    8 0.9002 0.993 0.942 0.863 0.716 0.600  1.505  +nan  26.8  nan
  shared   16 0.8768 0.992 0.927 0.818 0.659 0.518  1.698  -0.251  39.5  nan
  shared   32 0.8196 0.989 0.881 0.719 0.487 0.364  2.172  +nan  57.7  nan
 generic    1 0.9069 0.986 0.953 0.877 0.747 0.627  1.340  +nan   2.7  0.036
 generic    2 0.9054 0.986 0.948 0.877 0.735 0.635  1.362  +nan   5.2  0.029
 generic    4 0.9009 0.986 0.942 0.874 0.728 0.613  1.444  +nan  10.0  0.972
 generic    8 0.8904 0.985 0.932 0.850 0.705 0.591  1.541  +nan  18.4  0.989
 generic   16 0.8743 0.984 0.929 0.814 0.657 0.534  1.733  +nan  31.7  0.993
 generic   32 0.8229 0.979 0.886 0.724 0.515 0.398  2.144  +nan  50.3  0.997
  random    1 0.9087 0.986 0.953 0.885 0.747 0.634  1.325  +nan   0.0  0.008
  random    2 0.9090 0.985 0.952 0.886 0.748 0.638  1.325  +nan   0.0  0.011
  random    4 0.9094 0.985 0.953 0.886 0.751 0.638  1.325  +nan   0.1  0.020
  random    8 0.9085 0.985 0.952 0.886 0.748 0.634  1.326  +nan   0.2  0.032
  random   16 0.9089 0.985 0.952 0.887 0.750 0.635  1.327  +nan   0.4  0.051
  random   32 0.9084 0.985 0.952 0.886 0.751 0.628  1.327  +nan   0.8  0.064
    rank    1 0.9141 0.989 0.958 0.883 0.752 0.662  1.269  +nan  11.6  1.000
    rank    2 0.9135 0.989 0.953 0.882 0.748 0.677  1.244  +nan  12.6  0.080
    rank    4 0.9125 0.990 0.953 0.877 0.751 0.666  1.265  +nan  14.9  0.275
     cue    1 0.9066 0.985 0.950 0.878 0.748 0.629  1.338  +nan   2.7  0.038
     cue    2 0.9071 0.986 0.948 0.880 0.739 0.646  1.360  +nan   5.0  0.034
     cue    4 0.9003 0.984 0.942 0.872 0.732 0.612  1.444  +nan   9.8  0.958
     cue    8 0.8927 0.986 0.931 0.853 0.722 0.588  1.551  +nan  18.0  0.988
     cue   16 0.8673 0.983 0.923 0.802 0.636 0.520  1.776  +nan  30.8  0.991
     cue   32 0.8124 0.975 0.877 0.708 0.487 0.383  2.205  +nan  48.9  0.994
    rare    1 0.9075 0.986 0.951 0.882 0.741 0.634  1.344  +nan   2.7  0.011
    rare    2 0.9049 0.985 0.945 0.880 0.747 0.619  1.369  +nan   4.9  0.058
    rare    4 0.9000 0.985 0.943 0.869 0.729 0.608  1.444  +nan   9.5  0.977
    rare    8 0.8901 0.987 0.932 0.855 0.699 0.576  1.565  +nan  17.5  0.984
    rare   16 0.8697 0.984 0.924 0.814 0.645 0.505  1.786  +nan  30.2  0.990
    rare   32 0.8186 0.980 0.887 0.724 0.499 0.361  2.235  +nan  48.5  0.996
 randvar  468 0.9044 0.982 0.950 0.878 0.743 0.624  1.351  +nan  11.5  0.344
 randvar  579 0.9041 0.983 0.950 0.874 0.749 0.617  1.353  +nan  14.2  0.383
 randvar  770 0.9042 0.982 0.948 0.872 0.756 0.623  1.381  +nan  18.9  0.436
 randvar 1089 0.8997 0.981 0.943 0.872 0.737 0.613  1.505  +nan  26.7  0.516
 randvar 1613 0.8899 0.978 0.934 0.847 0.713 0.613  1.854  +nan  39.4  0.623
 randvar 2367 0.8673 0.963 0.898 0.832 0.682 0.580  3.192  +nan  57.6  0.761
